run_id,rebalance_day,bull_threshold,dropped_assets,sharpe,max_dd,ann_return,final_equity
115,Wed,60,"XMR, CRCL",1.208631154648241,-0.30037800193959796,0.4862396144077932,5.59660353972473
116,Tue,61,"HOOD, CRCL",0.6883504502324869,-0.41559085046176053,0.3104705233065206,3.2385971056449305
117,Tue,62,HYPE,0.5749354509269762,-0.37429262321647416,0.2046205321330501,2.2458858233950103
118,Wed,57,CRCL,1.230012468757629,-0.2979646391798533,0.4953614630912633,5.747431459777377
119,Wed,58,BNB,0.4424646270707063,-0.4532910692002791,0.19632279394374286,2.1794204697958537
120,Mon,57,XMR,1.4440940195605307,-0.300378001939598,0.6099690217223663,7.9224728279227685
121,Mon,60,"CRCL, COIN",1.1202294266185393,-0.3159672856657462,0.4675441790560817,5.2970114990102415
122,Tue,62,"XMR, HOOD",0.7013338154825299,-0.43486359855978485,0.34124917944396604,3.5824139742388637
123,Tue,58,HOOD,0.7691667350574998,-0.3724282305702573,0.3750930869929676,3.9922026906705286
124,Mon,63,"BNB, HOOD",0.07672874585807027,-0.5565826701533013,0.03552636347321814,1.1638385389636525
125,Thu,57,HOOD,0.9310720521053205,-0.33177807982940566,0.4606681198438298,5.189988008519355
126,Mon,60,HOOD,0.7606774392757399,-0.36734411046179455,0.34689211200991954,3.64838185786902
127,Thu,62,"HOOD, XMR",0.7013338154825299,-0.43486359855978485,0.34124917944396604,3.5824139742388637
128,Thu,63,"BNB, CRCL",0.22714848822775083,-0.46940182246100903,0.08704248388551417,1.4372520662108432
129,Thu,60,"HOOD, BNB",0.07061047150653116,-0.5510065489386119,0.03362996765220583,1.154603582252009
130,Wed,63,"CRCL, BNB",0.22714848822775083,-0.46940182246100903,0.08704248388551417,1.4372520662108432
131,Wed,60,CRCL,1.031607491759645,-0.30869901576446024,0.3921579933243011,4.212039515989498
132,Wed,58,"HYPE, HOOD",0.516458414631949,-0.5642123585496506,0.24100124591702166,2.5559272239897886
133,Mon,58,BNB,0.4424646270707063,-0.4532910692002791,0.19632279394374286,2.1794204697958537
134,Thu,62,CRCL,0.8346414347843083,-0.32404426083438714,0.31112372346448947,3.2456188208215444
135,Tue,57,"XMR, HYPE",1.1400569797968418,-0.38781468460128105,0.4673758526911216,5.294371440026291
136,Thu,60,BNB,0.4425414015377015,-0.453291069200279,0.17990783201991056,2.052403876300284
137,Thu,60,HOOD,0.7606774392757399,-0.36734411046179455,0.34689211200991954,3.64838185786902
138,Thu,60,HYPE,0.7659449671436239,-0.3599855343573288,0.2792241889497886,2.916128453183558
139,Wed,63,"HOOD, XMR",0.6525104224653117,-0.43486359855978496,0.3165921857995917,3.3048641362195537
140,Tue,60,HYPE,0.7659449671436239,-0.3599855343573288,0.2792241889497886,2.916128453183558
141,Thu,60,XMR,1.179398915105889,-0.30037800193959796,0.473971928208446,5.398586182371305
142,Wed,62,"CRCL, BNB",0.28942473188729945,-0.4694018224610091,0.11176538788420287,1.58482102966713
143,Thu,58,XMR,1.2899699862400735,-0.30037800193959807,0.5396450141557148,6.524673157753003
144,Mon,57,"BNB, XMR",0.751258973471884,-0.3991299490594805,0.36806874577674886,3.9043250375380527
145,Tue,57,"XMR, HYPE",1.1400569797968418,-0.38781468460128105,0.4673758526911216,5.294371440026291
146,Tue,60,"HYPE, XMR",0.9169169034051264,-0.38781468460128093,0.354976563421433,3.744517184213537
147,Wed,63,"HYPE, SOL",0.3568598260674374,-0.25396742130153876,0.11285240074527136,1.5915665778233052
148,Thu,57,HYPE,1.1821862970983839,-0.33505263827697734,0.4552985256872104,5.107576145750672
149,Tue,62,HOOD,0.7263106853250676,-0.4155908504617604,0.32337854482849426,3.379541416802426
150,Mon,63,BNB,0.1602034620020509,-0.46940182246100903,0.06185874283905357,1.2980460306952883
151,Tue,63,COIN,0.8889937590111731,-0.31596728566574617,0.3621165260904826,3.8310324576869923
152,Tue,58,XMR,1.2899699862400735,-0.30037800193959807,0.5396450141557148,6.524673157753003
153,Mon,61,XMR,0.9929471535373716,-0.30037800193959807,0.3934560614579914,4.229135100767068
154,Wed,63,"BNB, COIN",0.4212680981274179,-0.3855530486078109,0.16337424372214993,1.9303089170745371
155,Mon,63,HYPE,0.5258677828120756,-0.37429262321647405,0.1864679291677782,2.1024613231088765
156,Mon,61,HYPE,0.6924295054196478,-0.37429262321647405,0.2509480425428572,2.6461644797329207
157,Thu,60,SOL,0.8836114023789841,-0.25396742130153876,0.3139866650776175,3.2765330085812474
158,Tue,57,"HOOD, CRCL",0.8751446393126054,-0.33177807982940566,0.4328848064144639,4.774393885085064
159,Mon,63,HYPE,0.5258677828120756,-0.37429262321647405,0.1864679291677782,2.1024613231088765
160,Thu,62,"SOL, COIN",1.0688333010248385,-0.26997163107753297,0.45727776415438104,5.1378351135305
161,Wed,57,"HOOD, XMR",0.7463929499469156,-0.31534628967375516,0.400836577332234,4.327354549125855
162,Mon,60,"CRCL, XMR",1.208631154648241,-0.30037800193959796,0.4862396144077932,5.59660353972473
163,Tue,60,CRCL,1.031607491759645,-0.30869901576446024,0.3921579933243011,4.212039515989498
164,Wed,61,"XMR, HOOD",0.611362703343889,-0.4348635985597848,0.3023047441968265,3.151800399165657
165,Wed,59,HOOD,0.580041466880523,-0.43820708782720164,0.27750418464859794,2.8991257657788507
166,Mon,59,"BNB, XMR",0.5359343919891687,-0.42579803219963336,0.252653427904004,2.6618788029710787
