date,cumulative_etf_flow
2021-11-28,35183381618.40301
2021-11-29,37050953996.058586
2021-11-30,36927532083.22862
2021-12-01,36953610146.882866
2021-12-02,36511854764.33679
2021-12-03,36029142566.121956
2021-12-04,31712588252.605515
2021-12-05,31687778083.11341
2021-12-06,31457141271.191257
2021-12-07,32866493539.53168
2021-12-08,32383911353.954746
2021-12-09,31645698140.877277
2021-12-10,31061635036.04542
2021-12-11,31175901191.063065
2021-12-12,31876549603.353333
2021-12-13,31118671761.127872
2021-12-14,30374061745.42721
2021-12-15,30989638553.105915
2021-12-16,31308442550.287457
2021-12-17,30343999531.047672
2021-12-18,30027595647.626945
2021-12-19,30367159587.48492
2021-12-20,29914042335.422794
2021-12-21,31155929187.23304
2021-12-22,31585636260.06404
2021-12-23,31622481877.453594
2021-12-24,32883515882.798183
2021-12-25,32743821571.512802
2021-12-26,32303974611.68057
2021-12-27,32875505230.802692
2021-12-28,31530411562.118465
2021-12-29,30673409168.076607
2021-12-30,30328124399.215195
2021-12-31,30431207646.88142
2022-01-01,30304885360.980427
2022-01-02,30403548665.734024
2022-01-03,30146123661.927483
2022-01-04,29869835447.700996
2022-01-05,29557751287.56753
2022-01-06,27742994864.014267
2022-01-07,27039914191.4069
2022-01-08,26825217916.768806
2022-01-09,26965731037.60684
2022-01-10,26780054869.03104
2022-01-11,27133328781.30413
2022-01-12,27764917626.913467
2022-01-13,27921482680.554764
2022-01-14,27493928426.038834
2022-01-15,27750491108.569305
2022-01-16,27711881921.914246
2022-01-17,27379964306.157978
2022-01-18,26973727240.84064
2022-01-19,26945073098.650475
2022-01-20,27157661743.78909
2022-01-21,24928614200.869114
2022-01-22,22856367960.3578
2022-01-23,22778515578.007843
2022-01-24,22595186705.57185
2022-01-25,23474952920.565258
2022-01-26,24129005289.694286
2022-01-27,23391179642.359737
2022-01-28,23810594133.59481
2022-01-29,24320727844.811317
2022-01-30,24403250743.794662
2022-01-31,24127951293.181427
2022-02-01,24757756075.08964
2022-02-02,24474066802.570908
2022-02-03,23657466150.79119
2022-02-04,24769786140.941666
2022-02-05,26658415532.856613
2022-02-06,26718721047.65961
2022-02-07,27667091330.467747
2022-02-08,28202542551.747658
2022-02-09,28213575857.06217
2022-02-10,28475056577.77422
2022-02-11,27761681287.67949
2022-02-12,27198519428.46837
2022-02-13,27193895233.66372
2022-02-14,27162631330.161167
2022-02-15,28180148665.858658
2022-02-16,28255702746.579266
2022-02-17,27453246683.41148
2022-02-18,25978282314.48521
2022-02-19,25740750697.429615
2022-02-20,24931660078.217922
2022-02-21,24762811184.821342
2022-02-22,24058069577.88868
2022-02-23,24557825011.15638
2022-02-24,23231944112.53217
2022-02-25,24935425016.732185
2022-02-26,25205728589.18265
2022-02-27,24914040180.26053
2022-02-28,25176933531.3014
2022-03-01,27969479267.648605
2022-03-02,28239307958.320297
2022-03-03,27666534756.573532
2022-03-04,26330565495.704346
2022-03-05,25105026055.011166
2022-03-06,25052000841.411682
2022-03-07,24552827231.186073
